Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
0.0069518066,0.006949245,0.006951771,0.64729846,0.24504527,0.07289709,0.0069585997,0.006947772
0.21834117,0.38521266,0.14121379,0.23243873,0.005688881,0.005698624,0.005711749,0.0056943884
0.02508219,0.025004629,0.22500405,0.40810135,0.025032252,0.025004633,0.2417662,0.02500468
0.00694787,0.28799823,0.006954384,0.59044677,0.006955532,0.006963564,0.086783655,0.0069500166
0.36390862,0.008938164,0.008941177,0.2598661,0.33152893,0.008942209,0.008933117,0.00894169
0.012520524,0.012532019,0.0125100035,0.91227406,0.012517261,0.012537281,0.012525426,0.012583436
0.020861255,0.020853555,0.020849723,0.020875003,0.85398275,0.02084973,0.020855974,0.020872014
0.0035777008,0.29590124,0.07784804,0.49591887,0.0035768973,0.003577792,0.0035763697,0.11602308
0.63297504,0.01565105,0.01565229,0.015645219,0.27314147,0.015628891,0.01564022,0.015665825
0.020854043,0.020848434,0.020861214,0.02084462,0.020855471,0.45347753,0.020848861,0.42140982
0.09226576,0.21936816,0.002982496,0.0029804767,0.002979845,0.17699234,0.0029798325,0.49945107
0.15097642,0.00232033,0.0023169713,0.28834477,0.09511351,0.0023177783,0.11125941,0.3473508
0.3870531,0.010435109,0.010434354,0.010434949,0.010439088,0.010428725,0.010424081,0.5503506
0.0078240195,0.007826121,0.007828198,0.25063258,0.007822252,0.07965292,0.6305998,0.007814094
0.0083494,0.008341421,0.008339276,0.43790805,0.25063118,0.1769685,0.008345985,0.10111616
0.005007789,0.005016335,0.0050009773,0.5150328,0.4549173,0.0050146976,0.0050060744,0.00500394
0.19839545,0.0046331105,0.0046340153,0.33518693,0.44324586,0.004632395,0.0046362276,0.00463602
0.088431224,0.0012277089,0.001227807,0.37993303,0.5254979,0.0012268566,0.0012274492,0.0012280311
0.0028434426,0.0028430247,0.002842372,0.0028474296,0.98009807,0.0028418668,0.0028417595,0.002842074
0.031253427,0.031269282,0.03128596,0.031250335,0.03125129,0.78117126,0.031250335,0.03126811
0.0029105332,0.08519688,0.0029091756,0.5798885,0.32036197,0.0029088515,0.00291018,0.0029138874
0.015643887,0.7128889,0.015643215,0.015645927,0.19321397,0.015679907,0.015633183,0.015650999
0.015695589,0.00080899894,0.00080751587,0.36122504,0.6190401,0.0008074946,0.0008076045,0.00080766884
0.32930005,0.0024094195,0.0024069024,0.594405,0.0024076812,0.06425784,0.0024065566,0.002406535
0.28053242,0.012509754,0.012509047,0.012524092,0.41959208,0.012508183,0.2373158,0.01250857
0.24180196,0.013897028,0.013897713,0.36952683,0.013917949,0.013892704,0.31916085,0.013904931
0.004467987,0.04341989,0.004466878,0.9297679,0.0044734357,0.0044659413,0.004470831,0.004467078
0.008349978,0.008351833,0.008339812,0.008344256,0.008366865,0.008346358,0.629255,0.3206459
0.18331967,0.011381784,0.3860464,0.011379326,0.37375063,0.011371644,0.011364678,0.011385867
0.0031316269,0.0031290562,0.048088767,0.57502604,0.0031316082,0.03174409,0.11885369,0.21689518
0.013922353,0.013909097,0.013912379,0.56291914,0.013932214,0.35354826,0.013912697,0.013943888
0.40325257,0.011396842,0.011379839,0.01138049,0.39478004,0.011388408,0.011396534,0.1450253
0.0046373513,0.12410805,0.00463839,0.004632177,0.0046327207,0.43033755,0.004636157,0.42237765
0.1325073,0.008338809,0.008338768,0.008344831,0.3664196,0.30429605,0.008340153,0.16341446
0.031417146,0.031417098,0.0314259,0.28290093,0.27727813,0.031417232,0.03141739,0.28272617
0.25966632,0.07205726,0.0043156133,0.0043161768,0.112778105,0.1313668,0.0043147844,0.41118497
0.010427524,0.66767716,0.010433003,0.010421444,0.26974243,0.0104506165,0.010419962,0.010427822
0.008940152,0.008934056,0.008939169,0.93741816,0.008949692,0.008931068,0.008947284,0.008940422
0.012533792,0.40442103,0.12549022,0.25839385,0.16160728,0.0125032915,0.01251983,0.012530749
0.0039098035,0.0039087837,0.003907333,0.65512776,0.27060837,0.003907315,0.054723457,0.0039071897
0.20850192,0.0048140236,0.0048140204,0.52956885,0.0048142993,0.004818296,0.0048159277,0.23785266
0.02085327,0.020837374,0.02083993,0.85409087,0.02087265,0.020834558,0.020836772,0.020834556
0.015681751,0.015636027,0.15990758,0.62121797,0.01565702,0.1406335,0.015639361,0.015626762
0.017873386,0.01787009,0.017865764,0.01787901,0.5832871,0.017865762,0.30941215,0.01794674
0.19635656,0.017894952,0.2791288,0.017874021,0.017863886,0.4350991,0.017891033,0.01789164
0.6508165,0.009623495,0.009623256,0.00962657,0.2914221,0.0096187005,0.0096485065,0.009620861
0.002909677,0.0029117998,0.0029092687,0.49661726,0.48592335,0.0029091865,0.0029086042,0.002910892
0.008930235,0.008933283,0.008933149,0.46827173,0.47809625,0.008934378,0.008952337,0.008948675
0.005693741,0.005700165,0.0056847953,0.960145,0.0056943637,0.005688242,0.005691353,0.0057022963
0.015712481,0.015643429,0.36809546,0.015633924,0.33788967,0.21574874,0.015631802,0.015644487
0.011381401,0.011372067,0.011371867,0.3598222,0.5719332,0.01137146,0.0113743115,0.011373443
0.50146985,0.0011589504,0.0011586333,0.31719837,0.17553645,0.0011600757,0.0011585699,0.001159116
0.0069610644,0.0069537745,0.0069536828,0.6754586,0.0069532557,0.006948723,0.28282124,0.0069496725
0.48937058,0.008351315,0.008341034,0.008345857,0.15052003,0.00834433,0.008339276,0.31838757
0.009622004,0.9326024,0.009629647,0.009639211,0.009640432,0.009621562,0.009618431,0.009626303
0.08797253,0.008348064,0.008338797,0.4482557,0.31776184,0.008349131,0.0083416635,0.11263231
0.007356651,0.08897183,0.0073586055,0.48121554,0.39301637,0.0073569226,0.0073660207,0.00735812
0.361607,0.002505692,0.0025008158,0.40966636,0.094965264,0.0375491,0.088701755,0.0025040514
0.105922945,0.008347681,0.008351549,0.18338293,0.66896284,0.008348052,0.008334912,0.0083490815
0.0074384683,0.0074360934,0.0074359365,0.007469899,0.9479073,0.007438021,0.007436639,0.0074375686
0.0089405365,0.008941782,0.008935486,0.008936862,0.4267311,0.17901303,0.008930035,0.34957114
0.01391693,0.01390575,0.33270726,0.20980676,0.013894529,0.38796514,0.013891003,0.01391268
0.031318955,0.03131818,0.031332657,0.03132188,0.031385776,0.03131534,0.031321187,0.780686
0.26686025,0.011385508,0.011373647,0.32423133,0.35202315,0.011367147,0.011374429,0.011384546
0.007817789,0.072533466,0.007820999,0.007822922,0.8805352,0.007823624,0.007819162,0.00782688
0.020838086,0.020849733,0.020846408,0.020850075,0.8540643,0.020871518,0.020838385,0.020841498
0.0139384465,0.23572968,0.013906464,0.013919017,0.68072605,0.013910933,0.013927234,0.013942103
0.10647117,0.6544136,0.0024077399,0.0024069615,0.22707434,0.0024071978,0.0024107138,0.0024082654
0.006949582,0.15127106,0.1902256,0.0069527035,0.13316786,0.0069526844,0.18844673,0.31603372
0.0056848205,0.0056949384,0.005687308,0.8309143,0.13492735,0.0057146684,0.0056875767,0.0056889863
0.006254422,0.6233376,0.0062560756,0.0062594516,0.006266112,0.0062625,0.006258538,0.3391053
0.7288698,0.13684775,0.010420447,0.010436613,0.01043264,0.010425594,0.08214802,0.010419183
0.0050068717,0.27270123,0.005010259,0.0050123376,0.00500574,0.0050044735,0.005004135,0.69725496
0.00596601,0.34047234,0.06840951,0.005967836,0.005960016,0.005965784,0.005956698,0.5613018
0.18489428,0.009635983,0.009618218,0.009632741,0.6022231,0.009624273,0.009618466,0.16475293
0.03125962,0.031264145,0.03128478,0.03125652,0.03125652,0.7811324,0.03125653,0.03128947
0.0026072345,0.002607489,0.0026057283,0.5107548,0.47359967,0.0026104033,0.0026069246,0.002607732
0.009621922,0.74412304,0.009627453,0.009638768,0.009636977,0.009631578,0.00962949,0.19809079
0.5395654,0.006260695,0.0062527694,0.18111342,0.115337744,0.0062510488,0.13895567,0.0062632984
